name,amount
Alexander Berger,73605.07
Steven Rhodes,5353.46
John Scott,30629.91
David Hayden,95359.99
Kenneth Campbell,51153.35
Brandon Buchanan,58358.68
Monique Potts,94568.06
Alicia Lawson,31420.57
Melissa Barnes,88099.61
Michael Bryant,797.04
Jason James,92680.73
Wendy Smith,31903.56
Manuel Webb,94682.0
Tricia White,72439.29
Lori Jones,54507.75
Gary Frost,68720.96
Kara Smith,10480.54
Charles Brown,74841.39
Patricia Brown,31801.62
Nicole Neal,4149.28
Earl Hall,46873.68
Maria Walter,8652.02
Amy Morales,43026.91
Lindsay Cruz,5316.41
Brian Sanchez,45309.53
Kimberly Braun,4605.36
Mark Ellis,77611.78
Cynthia Hawkins,61597.29
Cindy Williams,22770.97
Craig Navarro,33189.27
David Brown,19900.13
Samuel Lewis,95962.59
Adam Johnson,71767.48
Steven Adams,74106.05
Maria Smith,29791.43
Jeffrey Morrow,32734.59
Arthur Blake,76993.4
Hannah Francis,64052.69
Mary Holmes,35405.61
Joseph Weber,12894.73
Daniel Campbell,83387.29
Juan Cannon,20791.9
Kelly Mcpherson,26054.01
Logan Hudson,57362.83
Pamela Smith,53549.35
John Pham,63122.88
Christina Peterson,6997.54
Kelly Rodriguez,70858.5
Jessica Petersen,25382.5
Elizabeth Mckenzie,29248.02
Pamela Wade,39900.34
Timothy Phillips,61354.65
John Yoder,15120.77
Thomas Hansen,6438.78
Sean Burns,9048.12
Darryl Reeves,6543.97
Alyssa Mcdonald,86190.36
Holly Mitchell,37309.4
Jerry Nunez,58341.31
Dawn Jensen,51304.44
Kaitlyn Wright,65455.4
Jennifer Reyes,7881.82
Amanda Hahn,89824.41
Elizabeth Reed,56533.18
Misty Mccullough,93032.84
Jasmine Ramirez,40710.11
Lorraine Adkins,75259.05
Scott Rivas,22717.42
Jordan Ochoa PhD,19471.19
Michael Logan,88846.79
James Charles,84051.03
Brian Estrada,69631.11
Jeffrey Santos,71055.54
Wendy Morgan,89154.36
Zachary Pineda,74507.24
Regina Wheeler,41987.9
Ryan Dominguez,58170.01
Ann Wright,89555.4
Alexander Griffin,10942.87
Jason Conrad,93383.85
Justin Miller,87148.5
Michelle Bowman,2287.18
Victoria Sheppard,5456.81
Paul Yang,57889.78
David Finley,91638.34
Brenda Zhang,4977.91
Kyle Hamilton,48348.29
Tim Maldonado,82188.31
Denise Taylor,17406.82
Vincent Peterson,53282.76
Justin Dyer,41224.49
Emily Edwards,96710.67
Eric Ball,26568.98
Bobby Ellis,99043.57
Jamie Orr,26754.35
Kendra Berger,94082.69
Laura Byrd,45785.4
Emily Manning,56451.73
Michael Medina,76653.82
Margaret Brown,39777.04
Miss Brianna Mueller MD,35964.26
Linda Adams,29699.89
Casey David,70662.65
Brandon Thomas,80834.94
James Davis,7084.41
Melissa Howard,46964.35
Jeffrey Morris,7926.47
Glen Hunt,465.74
James Willis,13701.34
Catherine Vasquez,14158.21
Daniel King,76433.9
Jessica Callahan,55767.32
Raymond Zhang,46550.03
Justin Evans,10121.41
Cynthia Strickland,66505.39
Jennifer Flores,72073.78
Erika Neal,29818.31
Richard Ferrell,29774.68
Erin Salas,16239.89
Rachel Hernandez,72096.76
Brittany Brown,36582.86
John Calderon,80321.32
Linda Pruitt,18542.2
David Roberts,43419.24
Ryan Wright,89968.08
Dr. Daryl Moore,22435.98
Beth Norman,2427.16
Jesus Jones,37420.71
Jon Pennington,92709.28
Monique Wolf,48510.72
Cristian Thomas,85925.42
John Williams,23001.09
Philip Lopez,98738.74
Alicia Gonzalez,19177.66
Margaret Lawrence,21435.79
Brittany White,35273.67
Robert Houston,94578.12
Linda Lee,51069.01
Kenneth Khan,51859.59
Harold Martinez,25385.01
Gregory Mccarthy,16113.74
Lauren Parker,32088.93
Rebecca Myers,40727.55
Brooke Rose,38293.27
Paige Jones,88713.31
Anthony Carr,2636.8
Cheryl Lawson,30385.2
Dave Harris,51761.6
Traci Marks,4239.76
Christian Copeland,64998.96
Christine Beltran,55080.64
Joseph Sherman MD,72643.18
Jeffrey Cooke,65384.09
Kelly Morrow,29617.03
Carolyn Davis,84489.14
Robert Whitney,19300.5
Mary Nelson,42581.17
Mr. Michael Moran,68941.85
Mary Marsh,35949.38
Michael Jimenez,19999.65
Andrew Rose PhD,29196.47
Michelle Johnson,68874.78
Scott Lloyd,50045.91
Mrs. Mary Collier DDS,38570.03
Joshua Kramer,79413.94
Neil Fleming,18796.27
Adam Mitchell,59404.91
Matthew Hamilton,12471.81
Grace Carrillo,69373.07
Jonathan West,13446.41
Erica Robinson,43667.83
Jerry Torres,40672.92
Christina Crane,81127.92
Erica Richard,41951.76
Briana Taylor,82232.63
Brian Hughes,30094.95
Daniel Gonzalez,53401.13
Jennifer Wilson,70234.02
Debbie Lewis,10246.84
Yolanda Barnes,83434.47
Rebecca Martinez,2258.87
Tracy Kent,9778.24
Paul Clark,44596.71
Kimberly Byrd,24753.24
Robert Jimenez,48819.43
Shane Harris,47992.92
Daniel Jennings,87479.88
Anthony Torres,82537.53
Valerie Hernandez,51989.4
Robert Bell,58567.48
Charlotte Castaneda,27323.61
Gary Newton,94321.19
Austin Rodriguez,79521.53
Mr. Christopher Evans,55964.89
Sandra Haynes,52868.98
Victoria Martin,69354.54
David Mason,33167.29
Teresa Rodgers,67657.19
Lucas Harris,60638.75
Stephanie Hamilton,58862.14
Jade Jimenez,90604.88
Cory White,41321.77
Alexander Jefferson,88953.61
James Byrd,18695.03
Jessica Oliver,92284.32
Sharon Craig,64562.1
Lauren Bailey,51855.56
Virginia Smith,60714.32
William Mason,43638.93
Kayla Gonzalez,68362.96
Christina Smith,53116.68
Timothy Griffin,84047.9
Peter Franklin,60861.68
Rebecca Gilbert,58278.18
Jon Mitchell,59387.97
Kristy Reyes,57981.55
Robert Scott,8453.2
Lawrence Austin,74994.35
Amanda Townsend,42038.83
Lisa Ortiz,79032.44
Deanna Miller,73185.73
Kevin Werner PhD,25755.88
John Perkins,80693.43
Alan Jackson,51643.84
Pamela Cooper,2957.54
Wanda Vega,83505.02
Eddie Mcclure,83487.16
Dylan Olson DDS,93462.32
Jordan Ruiz,68318.32
Jessica Rodriguez,4345.8
Breanna Bryant,3195.95
Lindsey Matthews,32318.39
Suzanne Evans,7817.18
Bruce Ferguson,61200.48
Christopher White,46736.58
Cynthia Maxwell,18782.43
Jennifer Collins,90261.62
Peggy Leblanc,91278.62
Ashley Medina,26215.44
Linda Burton,42354.34
James Moss,34703.47
Christopher Padilla,24963.45
James Reynolds,82632.59
Linda Daniel,41668.2
Brenda Mann,81250.3
Linda Collier,53175.5
Alicia Munoz,62793.58
James Thompson,44680.77
Pamela Novak,53277.94
Edward Johnson,78040.01
Richard Powers,64365.2
Shelly Ford,31775.8
Howard Williams,30974.99
Harry Acosta,92656.14
Diamond Jackson,37606.82
Ashley Hanna,60239.86
Stephen Wu,47709.6
Scott Brooks,48049.1
Stephen Martin,93129.98
Sandra Woods,41270.9
Michael Mccoy,41976.01
Cynthia Miller,57023.23
Christopher Gibson,88140.65
Amy Williams,58560.09
Deborah Daniels,99099.07
Debra Cook,1464.3
William Callahan,7253.73
Brian Hamilton,69843.17
Peter Moss,58218.15
Luis Sanchez,8662.87
Susan Hernandez,98122.49
Donna Gonzalez,21550.26
Sheryl Erickson,17566.34
Jeanne Davis,65953.72
Linda Brown,58183.35
Ian Everett,66909.42
Anthony King,78419.77
Amber Meyers,49861.13
Elizabeth Mccormick,612.67
Connor Pacheco,97560.24
Brandy Mitchell,8871.59
Donna Wright,21045.52
Jorge Jimenez,78319.42
Todd Moreno,11015.01
Charles Hayes,70846.57
Robert Lawson,50417.61
Michelle Brock,23806.42
Michael Wright,4473.52
Nathan Jackson,83131.56
Sophia Montoya,48280.69
Donald Suarez,49331.46
Chelsea Anthony,2841.31
Nicholas Rose,24200.55
Madison Gordon,88618.22
Robert Walsh,94662.1
Teresa Moore,74395.0
Bradley Burke,72334.14
Austin Merritt,52358.85
Courtney Lee,94083.85
Sara Houston,21546.44
Christopher Perez,23629.87
Matthew Clayton,62071.43
Eric Patel,40775.6
Heather Cobb,94437.64
Christina Lopez,58851.8
David Harris,41849.97
Robert Peterson,85082.07
Jonathan Montgomery,2420.71
Janet Benson,85424.94
Linda Christensen DDS,91737.14
Ariel Collins,47792.46
Denise Mitchell,54625.32
Kathy Smith,69426.46
Daniel Higgins,14768.98
Robert Elliott,40610.8
Diane Mason,32845.51
Samuel Hernandez,55532.52
Eric Werner,70665.35
Joy Reed,79859.52
Sonya Howard,10560.44
Ana Gibbs,21677.04
Ryan Thompson,22427.09
Ronald Johnson,8812.37
Judy Powers,39038.24
Lisa Larson,7179.18
Nicholas Martinez,84959.59
Christopher Kelley,68295.69
Kelly Young,90225.98
Pamela Skinner,96114.71
Lucas Gillespie,37605.83
Alexander Jacobs,18019.62
William Berger DDS,44749.84
Matthew Martinez,70025.28
Brandon Rodriguez,69490.16
Terri Lewis,29147.41
Jillian Jones,40174.95
Bridget Bowen,72071.48
Kenneth Torres,64022.59
Thomas Howard,93437.53
Jasmine Benson,63345.32
Dawn Maldonado,91810.88
Annette Daniels,76613.35
Jonathan Rivera,47483.45
Joseph Delgado,77076.13
Savannah Beasley,58653.84
Jennifer Ray,48323.14
Victoria Massey,1746.71
Glenn Strickland,96483.65
Timothy Chase,79882.94
Michael Thompson,53295.14
Morgan Rojas,38780.56
Timothy Tate,69801.47
April Cruz,55706.51
Jermaine Giles,16490.31
Lisa Reed,87545.48
Erin Collins,82337.38
Jennifer Owen,97188.17
Anthony Mills,33694.5
Kristen Vincent,47447.64
Molly Lawson,17563.12
Darin Davis,7929.64
Steven Henderson,52141.25
Susan Farmer,58298.43
Ashley Walsh,16752.09
Gregory Martinez,8969.98
Adrian Cruz,3406.1
Christina Frazier,39240.9
Julia Mccoy,11277.38
Brian Perez,31525.04
Alex Allen,79724.33
Alison Quinn,24356.14
Angela Johnson,23281.75
Joseph Wilkerson,51493.24
Lisa Gonzalez,88350.14
Joseph Mason,33059.27
Nicole Fisher,53019.12
Catherine Saunders,80587.88
Kevin Morales,1399.46
Jeremy Larsen,95703.65
Gina Harris,992.31
Teresa Hill,90832.0
Ashley Roman,42980.23
Sherry Thomas,67426.59
Destiny Stone,82562.23
Charles Lewis,42029.04
Jennifer Kelly,52808.05
Tristan Collins,7830.0
Robert Gonzalez,32389.07
Danielle Fernandez,57285.72
Kristin Farrell,12769.23
Alfred Thompson,40592.87
Mrs. Joanna Christian MD,36032.78
Mary Davis,73928.68
David Perkins,18109.69
David Walker,9215.02
Nathan Hardy,2282.49
Jennifer Sellers,4871.26
Chase Rhodes,84512.01
Wendy Garcia,1054.74
Gregory Garza,27347.81
Aaron Gonzalez,58453.39
Derek Henderson,6605.47
David Smith,7364.92
Susan Mcintosh,79527.21
Ashley Randolph,63876.91
Zachary Burns,65047.2
Joe Taylor,41069.84
Barbara Deleon,97254.87
Jennifer Patel,64891.53
Alexandra Craig,73593.6
Elizabeth Cohen,10624.96
Maurice Smith,67017.62
Andrea Frey,87161.02
Jessica Lynch,64273.54
Joseph Lara,99459.52
Emily Lewis,44673.19
Eric Walters,12264.34
Elizabeth Snyder,57116.8
Mr. Jeremy Smith,85696.06
Vincent Gomez,82413.12
Daniel Rojas,60870.81
Kayla Garcia,42568.73
William Adams,6177.84
Richard Hoffman,46782.42
Steven Brooks,79162.63
Dr. Daniel Mcdonald,38397.68
Michelle Santiago,28719.89
Matthew Summers,32466.57
Steven Robles,87880.05
Kimberly Carter,24701.23
James Dean,23224.75
Eric Brown DDS,25561.8
Nathaniel Kent,54558.75
Steven Caldwell,60274.44
Joshua Oconnor,85348.85
Tommy Bowman,38534.98
Destiny Alvarez,45093.31
Julia Klein,46642.31
Allison Long,91987.61
Janet Mccoy,12641.75
Mark May,93365.3
Brianna Jones,42922.22
Monica Hess,63705.52
Luis Nguyen,43540.03
Patricia Kerr,6547.89
James Miller,36268.2
Samuel Hancock,43417.89
Michael Carlson,11408.99
John Peterson,79843.18
Randy Davis,96916.23
Lynn Bender,85658.64
Dennis Johnston,31853.96
Brenda Vincent,18737.42
Joseph Washington,67961.45
Kimberly Baxter,3186.15
Larry Cox,84868.8
Elizabeth Duncan,88839.66
Paul Ewing,63892.27
William Whitaker,28917.93
Maurice Swanson,88181.96
William Johnson,20789.01
Andrea Santiago,52475.59
Michael Montgomery,52475.13
Clayton Meyer,14546.02
Katherine Rodriguez,37210.83
Eric Liu,65575.72
Edgar Collins,69631.22
Logan Mathis,31059.57
Tyler Ward,30635.77
Amanda Mccann,46211.83
Kenneth Coleman,62967.58
Jeffrey Richardson MD,31207.85
Cameron Steele,7819.77
Ashley Mercado,2298.64
Anthony Hartman,10552.38
Michael Hughes,32328.83
Fred Wilson,2755.47
Kevin Smith,71104.72
Kyle Wilson,62049.52
Audrey Allen,42725.01
Tanya Raymond,21508.05
Marie Herrera,28675.14
Sarah Perez,29688.82
Henry Brown,16217.82
Sara Daniels,42478.71
Nicholas Smith,56091.51
Sara Hawkins,68910.31
Daniel Stone,69115.18
William Martin,44192.28
Joyce Roberts,71671.85
Jordan Horn,90346.3
Steven Murphy,77830.31
Jamie Brady,3888.71
Michael Mann,31634.03
Carolyn Kim,86855.73
Mike Howard,21253.63
James Thomas,40948.96
Virginia Cardenas,35459.18
Carolyn Hernandez,37269.02
Michael Clark,3282.54
Adrienne Potter,55026.55
Melissa Gay,90621.64
Alexandria Johnson,42763.96
Jennifer Burton,19104.65
Sheila Francis,18452.81
Luis Phillips,3487.32
Julie Rhodes,33046.7
Anna Alexander,54462.08
Ebony Cunningham,50565.01
Samantha Hill DDS,53298.98
Megan Marshall,83137.31
Ms. Suzanne Gutierrez,55698.71
James Romero,59928.33
Joseph Martinez,32091.8
Jason Fisher,70134.79
Tina Perez,63346.29
Heather Peterson,67384.14
Richard Roberts,39588.63
Matthew Robinson,24436.34
Rebecca Lee,57590.32
Nathan Rhodes,48096.56
Keith Ford,72267.47
Anthony Kelley,22635.23
Douglas Reed,56027.36
Brianna Saunders,34907.64
Ms. Crystal Horn,99343.1
Louis Dunn,41457.02
Cindy Yang,13194.86
Daniel Davis,25453.08
Amy Horne,50693.26
Mary Charles,30940.42
Anthony Kim,49445.39
Mr. Jason Johnson,10828.72
Maria Weeks,3975.32
Gavin Calderon,22395.87
Catherine Wade,15088.3
Ashley Cummings,76246.55
Ashley Howell,68910.77
Sabrina Smith,53125.08
Stephanie Lutz,31465.32
Kim Kennedy,47679.23
Natalie Scott,67765.16
Ryan Lin,27001.5
Anthony Smith,63662.46
Tiffany Brooks,10701.26
Todd Carson,77125.36
Kara Nelson,59650.59
Steven Bates,28613.62
Tammy Little,13914.53
Joseph Arnold,69779.43
Jenny Simpson,93378.39
Andrea Wright,94370.1
Sharon Walker,28520.31
Joseph Pratt,24759.47
Kevin Barton,11469.86
Andrew Romero,18683.42
Marvin Crawford,64.14
Adrian Wright,33111.88
Courtney Rodriguez,63231.2
Patrick Baker,95825.15
Nathan Smith,75693.76
Corey Schwartz,61287.6
Katrina Powers,3440.15
Terrance West,12908.96
Tracy Perez,24682.0
Stacy Miller,23573.87
Robert Robles,36276.75
Jonathan Conrad,28326.95
Matthew Barton,40160.52
Charles Stewart,49379.24
Mrs. Julie Lowery MD,30671.33
Amanda Parker,7621.62
Gary Boone,36038.28
Madison Shields,56134.54
Sarah Kelly,39411.96
Julia Callahan,59496.39
Rebecca Carrillo,53390.7
Patrick Jefferson,37709.92
Olivia Wood,88819.92
Shelley Davis,31977.35
Gerald Perkins,5586.29
Craig Sexton,93263.34
Nicolas Joseph,26857.7
Jay Roberts,87132.4
Kyle Steele,32432.64
Andrew Haney,58695.29
Jeffrey Clark,72081.81
Crystal Mcintyre,87506.73
Andrea Thompson,42253.82
Bonnie Willis,7631.34
Tamara Smith,59102.13
Brittney Grant,74007.77
Katherine Miller,59589.03
Andrew White,12536.07
Lisa Carpenter,27962.18
Trevor Johnson,84776.72
Ronald Benitez,81171.03
Kelly Price,15884.5
John Lee,52189.32
Raymond Marshall,42217.29
David Lopez,67696.86
Julie Jackson,84856.04
Melissa Best,96386.73
Rhonda Bowman,58263.36
Michael Walsh,57110.01
William Nguyen,90314.81
Michael Khan,67194.52
Chad Shelton,90683.84
Shelly Simpson,24399.29
David Gonzalez,11295.14
Samantha Murray,9732.71
Brendan Crawford,74021.22
Christina Rodriguez,19090.24
Sarah Taylor,50932.52
Melissa Nguyen,4095.03
Juan Hill,53088.9
Roy Calderon,78367.31
Andrew Patel,708.6
Gabriel Vasquez,79181.16
John Bowers,99797.87
Adrienne Knight,49366.29
Lisa Wood,96069.18
Monica Johnson,72901.89
Emily Jones,71670.76
Caleb Gonzalez,80175.1
Danny Torres,57101.23
Jillian King,50004.29
Jennifer Ponce,31908.07
Kelly Lara,96446.19
Stephanie Manning,15959.81
Dr. Carl Nguyen,75702.06
Jonathan Reyes,9890.46
Bryan Morrison,46446.68
Benjamin Clark,70783.37
Rhonda Gonzalez,40825.2
Donna Perez MD,13297.79
Meghan Adams,19903.5
Misty Hughes,31538.92
Adam Jarvis,87239.4
Joe Evans,71035.52
James Myers,14879.42
Hayley Smith,89073.63
William Anderson,73348.92
John Edwards,95194.09
Sydney Little,287.68
Jesse Cruz,4737.31
Jennifer Crawford,47576.23
Ashley Nicholson,69232.07
Matthew Butler,47887.56
Brittany Schultz,2874.69
Jorge Yates,76504.22
Sarah White,5669.78
Donna Bowman,28417.42
Frank Taylor,94787.82
Gregory Johnson,37201.69
Paula Collins,6701.54
Jordan Randall,43267.4
Cheyenne Taylor,47529.76
Brian Fisher,55654.9
David Cunningham,32704.7
Heather Thomas,25310.24
Maria Owens,71065.89
Dennis Montes,94862.97
Jacob Kim,960.5
Antonio Soto,29464.9
Kathryn Gutierrez,51778.39
Sherry Watts,70590.41
Mr. Matthew Williams DDS,41762.05
Amber Bennett,70744.39
Melody Williams,70448.65
Autumn Mccarthy,2248.74
Breanna Palmer,5789.36
Destiny Cook,45866.55
Elaine Wright,44989.5
Robert Gonzalez,72479.58
Carrie Bush,90448.33
Crystal Rogers,37197.72
David Juarez,43571.46
Janet Garza,58511.41
Michael Chen MD,63142.56
Brandi Lynn,49563.1
Sarah Randall,66508.71
Amber Saunders,70302.12
Brady Caldwell,97758.0
Christopher Cervantes,54571.88
Brandon Jackson,98511.59
Bailey Vasquez,8406.37
Frank Ellis,84701.94
Robert Phillips,18208.13
Randall Black,95593.23
Jamie Phillips,99639.0
William Johnson,44663.34
Frederick Mendoza,96969.96
Robert Garcia,40783.91
John Mcgee,62222.02
Kayla Tran,31798.39
Rachael Wagner,87028.9
Edward Sanders,31696.95
Joseph Jackson,64888.03
Kristine Ho,70246.63
Ariel Reyes,95322.4
Stephanie Nolan,18827.28
Austin Raymond,78599.18
James Ford,25691.9
Paul Wilson,75931.1
Ashley Dixon,16896.9
Charles Salazar,57444.22
Jeffrey Snyder,30869.99
Bruce Perez,49634.03
Eric Reid,67641.52
Amanda Mullins,18857.9
Ann Arias,71433.74
Aaron Evans,84904.19
Mr. Robert Hill,65377.5
Teresa Weber,79220.38
Alan Gomez,78106.23
Ashley Benton,75940.89
Kristin Campbell,5844.62
Ronnie Buchanan,94359.92
Michael Davis,21161.78
Michelle Ryan,31829.35
Alexis Jones,69202.32
Nathan Cook,37989.69
Douglas Sharp,51786.03
Claudia Costa,43170.02
Casey Conner,52361.28
Jessica Mason DVM,4028.48
Rebecca Wade,9249.5
Steven Perez,30309.89
David Lee,89361.12
Taylor Kelly,37437.82
Michael Morales,31740.16
Hayley Reed,97342.31
James Conner,57226.09
Walter Cunningham,1715.88
Lisa Tucker,40184.05
Natalie Torres,40608.46
Brenda Williams,30166.01
Sarah Avery,97417.36
Emily Stevens,40126.16
Scott Vargas,77640.07
Bradley Perkins,17757.16
Lindsay Carlson,683.56
Brian Johnson,23330.63
Shane Alvarez,69671.48
Jeffrey Haynes,81906.16
Robert Ray,51946.48
Joshua Cooley,51707.65
Jeffrey Romero,95888.59
David Jones Jr.,53829.36
Breanna Jacobs,79511.91
Grace Miller,96476.93
David Conrad,49833.35
Robert Harmon,83896.52
Suzanne Fuller,39838.5
Derek Scott,74630.87
Heidi Miller,96576.47
Kevin Case,84629.37
Teresa Graves,83610.6
Christopher Butler,26660.73
Scott Williams,2329.4
Jessica Norman,13490.85
Michael Flores,51214.98
Richard Wheeler,59980.7
Michelle Orozco,40812.78
Kyle Benitez,35496.66
Ashley Wilcox,29360.76
Kathleen Fischer,39075.38
Olivia Pope,1628.01
Brittany Christian,9316.62
Kimberly Adams,45310.1
Tina Smith,52940.5
Katherine Boyd,3499.5
Virginia Wallace,39320.24
Nicole Hill,84367.96
Erica Barton,8137.6
Matthew Martinez,90450.44
Charles Daniels,30156.93
Duane Smith MD,12113.09
Holly Romero,18389.66
George Carpenter,47928.57
Danielle Page,59516.02
Daniel Baker,40705.53
Shelly Lawson,86207.69
Michele Davis,22071.14
Sarah Mueller,67293.59
Robin Harris,67489.03
Tina Fitzpatrick,48532.17
Gregory Richardson,64319.22
Randy Hawkins,18273.88
Margaret Grimes,74600.26
Amber Atkins,77792.46
Mark Mckinney,76504.64
Michael Christensen,70066.19
Nicholas Hughes,1452.6
Kathryn Cox,96441.59
Alexis Elliott,46850.78
Krystal May,56527.08
Jaime Alexander,29127.36
Stephanie Mcconnell,91929.73
James Long,39158.93
Michael Lewis,22445.85
Audrey Chen,61250.41
Jennifer Meyer,24194.83
Aaron Barnes,60492.92
Kathryn Jones,21774.39
Reginald Beasley,22701.58
Brooke Johnson,59105.31
Stephanie Watson,92332.24
Clayton Cooper,37631.09
James Martin,78282.15
Samantha Vasquez,6454.72
David Phillips,11305.65
Marissa Rhodes,52395.36
Mr. Gregory Nicholson Jr.,92881.64
Dr. Alexandria Reid,98733.12
Benjamin Stevens,55861.91
Christopher Duncan,83745.49
Bruce Oconnor,11834.72
Sarah Nichols,74712.33
Nathaniel Pierce,14658.89
Charles Elliott,26314.59
Stacey Brady,10178.81
Alan Reyes,36359.14
Mrs. Miranda Lopez DDS,97932.78
David Clay,98905.43
Felicia Jackson,20858.44
Nathan Mcneil,59611.48
Bradley Nguyen,86820.03
Kaitlyn Smith,74338.3
Brett Oneal PhD,11183.78
William Noble,25648.02
Alexandra Jones,74940.84
Aaron Luna,97956.23
Michael Moyer,98495.67
Patricia Perry,54543.81
Ashley Levy,45050.65
Timothy Flores,64684.96
Janice Elliott,44263.28
Victoria Hodge,17013.91
Gabriel Gibbs,69650.29
Wendy Rush,43940.73
Mary Greene,24659.55
Ashley Gentry,61005.35
Karen Young,48442.41
Jeffrey Taylor,3710.8
Hailey Anderson,371.42
Danny Calhoun,96068.87
Richard Montoya,43585.07
Joshua Cooper,69436.99
Richard Schultz,85481.24
Jeremy Hicks,84783.7
Jimmy Benitez,28791.87
Jenna Tyler,11278.65
Amy Walter,2806.18
Edward Meyer,15456.63
Pamela Melton,35041.45
Rodney Johnson,51008.09
Joshua Chavez,41064.4
Jeffrey Herring,61633.19
David Brown,7796.75
Richard Gray MD,40821.94
Bruce Newman,97952.8
Donna Wiley,54929.55
Kenneth Kim,60244.52
Shawn Lopez,40549.93
Lisa Williams,57914.94
Brenda Ryan,18532.13
Andrea Johnson,63236.62
Laura Medina,93161.12
Tristan Henson,34518.38
Marissa Odonnell,53521.9
Zachary Vincent,78937.56
Francis Johnson,35454.21
Craig Drake,94711.28
Christopher Moran,69262.84
David Peterson,96840.7
David Graham Jr.,33960.5
Linda Powell,61368.22
Nathan Duncan,74770.43
